1; 1.0820212806667224; 1948918
3; 2.7952216417223665; 3666538
5; 5.139601083166932; 5987318
7; 7.033138324333697; 7270098
9; 8.65617024533378; 8593498
11; 10.730044366611665; 9390838
13; 12.53341316772287; 10181958
15; 15.328634809445235; 10458978
17; 16.95166673044532; 10564958
19; 19.386214611945444; 10610358
21; 20.738741212778848; 10674918
23; 23.263457534334535; 10709178
25; 25.42750009566798; 10753318
27; 26.509521376334703; 10785598
29; 29.93592209844599; 10817878
31; 31.108111819168272; 10828418
33; 33.0918175003906; 10775718
35; 34.08367034100176; 10786258
37; 37.329734183001925; 10796798
39; 38.14125014350197; 10701938
41; 42.8300090263911; 10765178
43; 44.00219874711338; 10765178
45; 43.10051434655778; 10754638
47; 46.79742038883575; 10765178
49; 51.84685303194712; 10754638
51; 50.85500019133596; 10691398
53; 51.75668459189156; 10744098
55; 57.88813851566965; 10701938
57; 59.06032823639194; 10680858
59; 58.429149156003014; 10670318
61; 60.23251795711422; 10691398
63; 61.8555498781143; 10596538
65; 66.09346656072563; 10607078
67; 69.7903726030036; 10617618
69; 67.80666692178129; 10585998
71; 66.90498252122568; 10522758
73; 76.64317404722618; 10543838
75; 82.41395421078204; 10543838
77; 73.21677332511489; 10470058
79; 79.61873256905967; 10491138
81; 83.13530173122652; 10459518
83; 78.6268797284485; 10406818
85; 97.29174681994947; 10448978
87; 85.02883897239327; 10427898
89; 106.66926458572773; 10438438
91; 102.52151634317197; 10427898
93; 93.86534609783818; 10354118
95; 86.47153401328224; 10364658
97; 96.29989397933831; 10354118
99; 126.50632139795098; 10448978
